Sample-ID,Mass (g)
FUCRW-M1-1-A,0.0097
FUCRW-M1-1-B,0.0074
FUCRW-M1-1-C,0.0089
FUCRW-M2-2-A,0.0221
FUCRW-M2-2-B,0.0111
FUCRW-M2-2-C,0.0286
MYCN-M1-2-A,0.0193
MYCN-M1-2-B,0.0186
MYCN-M1-2-C,0.0245
MYCN-M2-2-A,0.0399
MYCN-M2-2-B,0.0087
MYCN-M2-2-C,0.0210
IDH1-M1-1-A,0.0119
IDH1-M1-1-B,0.0476
IDH1-M1-1-C,0.0647
IDH1-M1-2-A,0.0156
IDH1-M1-2-B,0.0285
IDH1-M1-2-C,0.0053
IDH1-M2-1-A,0.0102
IDH1-M2-1-B,0.0063
IDH1-M2-1-C,0.0632
MYCN;IDH1-M1-1-A,0.0346
MYCN;IDH1-M1-1-B,0.0420
MYCN;IDH1-M1-1-C,0.0381
MYCN;IDH1-M1-2-A,0.0585
MYCN;IDH1-M1-2-B,0.0399
MYCN;IDH1-M1-2-C,0.0263
MYCN;IDH1-M2-1-A,0.0399
MYCN;IDH1-M2-1-B,0.0138
MYCN;IDH1-M2-1-C,0.0140
MYCN;IDH1-M2-2-A,0.0394
MYCN;IDH1-M2-2-B,0.0693
MYCN;IDH1-M2-2-C,0.0573

